phrase,frequency,inDict
miserere nobis,1.940494872384673e-07,0
locus delicti,1.940494872384673e-07,0
ex nunc,1.940494872384673e-07,0
via lactea,1.9194025368152745e-07,1
vera causa,1.9194025368152745e-07,0
jus canonicum,1.898310201245876e-07,1
per definitionem,1.898310201245876e-07,0
nunc dimittis,1.898310201245876e-07,1
hostis humani generis,1.898310201245876e-07,0
sursum corda,1.898310201245876e-07,1
verbatim et literatim,1.877217865676477e-07,0
dona nobis pacem,1.8561255301070785e-07,1
nil desperandum,1.8561255301070785e-07,1
anno mundi,1.83503319453768e-07,1
e silentio,1.813940858968281e-07,1
opus quadratum,1.792848523398883e-07,1
experimentum crucis,1.792848523398883e-07,0
spiritus mundi,1.792848523398883e-07,0
ex silentio,1.771756187829484e-07,1
homo homini lupus,1.771756187829484e-07,0
in facie,1.771756187829484e-07,1
homo neanderthalensis,1.7506638522600854e-07,0
novus homo,1.7506638522600854e-07,1
et alibi,1.7506638522600854e-07,0
proxime accessit,1.7506638522600854e-07,0
non liquet,1.708479181121288e-07,1
dies non,1.708479181121288e-07,1
deus vult,1.708479181121288e-07,1
pons asinorum,1.6873868455518897e-07,1
lapsus calami,1.6873868455518897e-07,1
ad locum,1.6873868455518897e-07,1
donatio mortis causa,1.666294509982491e-07,1
ubi sunt,1.666294509982491e-07,1
post festum,1.666294509982491e-07,0
solvitur ambulando,1.666294509982491e-07,1
contradictio in terminis,1.666294509982491e-07,0
ad acta,1.6452021744130926e-07,0
non serviam,1.6452021744130926e-07,0
primum movens,1.6452021744130926e-07,0
ars gratia artis,1.6241098388436937e-07,1
sol invictus,1.6241098388436937e-07,0
in globo,1.6241098388436937e-07,1
ut pictura poesis,1.603017503274295e-07,0
crimen falsi,1.603017503274295e-07,1
carpe noctem,1.603017503274295e-07,1
in hoc signo vinces,1.603017503274295e-07,1
sic transit gloria mundi,1.603017503274295e-07,1
manu militari,1.603017503274295e-07,0
loco citato,1.560832832135498e-07,1
lapis philosophorum,1.560832832135498e-07,0
salva veritate,1.560832832135498e-07,1
lege artis,1.560832832135498e-07,0
tertium comparationis,1.560832832135498e-07,0
res inter alios acta,1.5397404965660993e-07,1
nemo dat quod non habet,1.5397404965660993e-07,0
casus omissus,1.5397404965660993e-07,1
coram deo,1.5186481609967006e-07,0
vis maior,1.5186481609967006e-07,0
ex professo,1.5186481609967006e-07,0
similia similibus curantur,1.5186481609967006e-07,1
ignorantia juris non excusat,1.497555825427302e-07,0
amor vincit omnia,1.4553711542885049e-07,1
vanitas vanitatum,1.4342788187191062e-07,1
homo heidelbergensis,1.4342788187191062e-07,0
uberrima fides,1.4131864831497078e-07,1
facile princeps,1.4131864831497078e-07,1
jus commune,1.4131864831497078e-07,1
ex opere operantis,1.3920941475803089e-07,1
ad quod damnum,1.3710018120109102e-07,1
dei gratia,1.3710018120109102e-07,1
in partibus infidelium,1.3499094764415118e-07,1
opus operatum,1.3499094764415118e-07,1
in usu,1.3499094764415118e-07,0
quis custodiet ipsos custodes,1.3499094764415118e-07,1
ex animo,1.328817140872113e-07,1
non placet,1.328817140872113e-07,1
carmina burana,1.328817140872113e-07,0
fiat panis,1.3077248053027145e-07,0
morituri te salutant,1.3077248053027145e-07,1
sub poena,1.2866324697333158e-07,1
per aspera ad astra,1.265540134163917e-07,1
vox populi vox dei,1.265540134163917e-07,1
ex vi termini,1.265540134163917e-07,1
periculum in mora,1.2444477985945185e-07,0
mare liberum,1.2444477985945185e-07,1
contradictio in adjecto,1.2444477985945185e-07,1
in curia,1.2444477985945185e-07,1
credo quia absurdum,1.2444477985945185e-07,1
e contrario,1.2444477985945185e-07,1
horribile dictu,1.22335546302512e-07,1
sub nomine,1.22335546302512e-07,1
sub verbo,1.22335546302512e-07,1
finem respice,1.22335546302512e-07,1
senatus consultum ultimum,1.2022631274557214e-07,0
contemptus mundi,1.2022631274557214e-07,1
legate a latere,1.2022631274557214e-07,1
ars antiqua,1.2022631274557214e-07,1
nullius in verba,1.1811707918863229e-07,0
sine ira et studio,1.1811707918863229e-07,0
in flagranti,1.1811707918863229e-07,0
soli deo gloria,1.1811707918863229e-07,0
opus vermiculatum,1.160078456316924e-07,1
dux bellorum,1.160078456316924e-07,0
argumentum ad baculum,1.160078456316924e-07,1
quota litis,1.1389861207475255e-07,0
sub anno,1.1389861207475255e-07,0
et uxor,1.1389861207475255e-07,0
loci communes,1.1389861207475255e-07,0
esse quam videri,1.1389861207475255e-07,1
quare clausum fregit,1.1389861207475255e-07,1
nudum pactum,1.1389861207475255e-07,1
ex deo,1.1389861207475255e-07,0
ex maleficio,1.1178937851781269e-07,1
errare humanum est,1.1178937851781269e-07,1
ex negativo,1.1178937851781269e-07,0
eiusdem generis,1.1178937851781269e-07,0
species nova,1.1178937851781269e-07,0
pro mille,1.0968014496087283e-07,1
cave canem,1.0968014496087283e-07,1
vis inertiae,1.0968014496087283e-07,1
alea iacta est,1.0968014496087283e-07,0
capax infiniti,1.0968014496087283e-07,0
ut dictum,1.0757091140393296e-07,0
ad vitam aeternam,1.0757091140393296e-07,0
apologia pro vita sua,1.0757091140393296e-07,1
invitatio ad offerendum,1.0757091140393296e-07,0
particeps criminis,1.0757091140393296e-07,1
vae victis,1.054616778469931e-07,1
stabat mater,1.054616778469931e-07,1
aetatis suae,1.054616778469931e-07,1
vaticinium ex eventu,1.054616778469931e-07,0
quoad hoc,1.0335244429005324e-07,1
ex proprio vigore,1.0335244429005324e-07,1
ab aeterno,1.0335244429005324e-07,1
nosce te ipsum,1.0335244429005324e-07,1
odium theologicum,1.0335244429005324e-07,1
audiatur et altera pars,1.0335244429005324e-07,0
humanae vitae,1.0124321073311339e-07,0
damnatio ad bestias,1.0124321073311339e-07,0
magister artium,1.0124321073311339e-07,0
stupor mundi,9.913397717617352e-08,1
brutum fulmen,9.913397717617352e-08,1
summa summarum,9.913397717617352e-08,0
te deum,9.913397717617352e-08,1
credo ut intelligam,9.913397717617352e-08,1
anno regni,9.702474361923364e-08,0
via sacra,9.702474361923364e-08,0
domus aurea,9.702474361923364e-08,0
fumus boni iuris,9.702474361923364e-08,0
sic semper tyrannis,9.702474361923364e-08,1
sine prole,9.49155100622938e-08,1
miles gloriosus,9.49155100622938e-08,1
virgo intacta,9.49155100622938e-08,1
caritas in veritate,9.280627650535392e-08,0
cor ad cor loquitur,9.280627650535392e-08,0
ad multos annos,9.280627650535392e-08,0
extrema ratio,9.280627650535392e-08,0
