phrase,appear times,frequency
semper ad meliora,3,6.327700670819586e-09
sic vos non vobis,3,6.327700670819586e-09
ex astris scientia,3,6.327700670819586e-09
e vestigio,3,6.327700670819586e-09
scientia et sapientia,3,6.327700670819586e-09
sumptibus auctoris,3,6.327700670819586e-09
senatus populusque romanus,3,6.327700670819586e-09
suo loco,3,6.327700670819586e-09
animula vagula blandula,2,4.2184671138797235e-09
cura ut valeas,2,4.2184671138797235e-09
incredibile dictu,2,4.2184671138797235e-09
ecce ancilla domini,2,4.2184671138797235e-09
tu stultus es,2,4.2184671138797235e-09
damnant quod non intelligunt,2,4.2184671138797235e-09
fas est et ab hoste doceri,2,4.2184671138797235e-09
omne ignotum pro magnifico,2,4.2184671138797235e-09
post coitem,2,4.2184671138797235e-09
audaces fortuna juvat,2,4.2184671138797235e-09
favete linguis,2,4.2184671138797235e-09
descensus in cuniculi cavum,2,4.2184671138797235e-09
spero meliora,2,4.2184671138797235e-09
victoria concordia crescit,2,4.2184671138797235e-09
cetera desunt,2,4.2184671138797235e-09
amicus certus in re incerta cernitur,2,4.2184671138797235e-09
arma christi,2,4.2184671138797235e-09
primum vivere deinde philosophari,2,4.2184671138797235e-09
regina caeli,2,4.2184671138797235e-09
vestigia nulla retrorsum,2,4.2184671138797235e-09
qui transtulit sustinet,2,4.2184671138797235e-09
spes bona,2,4.2184671138797235e-09
quis ut deus,2,4.2184671138797235e-09
non sibi sed patriae,2,4.2184671138797235e-09
varium et mutabile semper femina,2,4.2184671138797235e-09
praedia urbana,2,4.2184671138797235e-09
sapientia et eloquentia,2,4.2184671138797235e-09
similis simili gaudet,2,4.2184671138797235e-09
deo vindice,2,4.2184671138797235e-09
dulce periculum,2,4.2184671138797235e-09
alieni iuris,2,4.2184671138797235e-09
virtute et armis,2,4.2184671138797235e-09
hac lege,2,4.2184671138797235e-09
cygnus inter anates,2,4.2184671138797235e-09
specialia generalibus derogant,2,4.2184671138797235e-09
exitus acta probat,2,4.2184671138797235e-09
fortius quo fidelius,2,4.2184671138797235e-09
dis aliter visum,2,4.2184671138797235e-09
jus relicti,2,4.2184671138797235e-09
ex scientia tridens,2,4.2184671138797235e-09
rari nantes in gurgite vasto,2,4.2184671138797235e-09
non sum qualis eram,2,4.2184671138797235e-09
concordia salus,2,4.2184671138797235e-09
veritas odit moras,2,4.2184671138797235e-09
sum quod sum,2,4.2184671138797235e-09
ego te provoco,2,4.2184671138797235e-09
virtus non stemma,2,4.2184671138797235e-09
semper instans,2,4.2184671138797235e-09
morbus sacer,2,4.2184671138797235e-09
verba docent exempla trahunt,2,4.2184671138797235e-09
opera citata,2,4.2184671138797235e-09
delegata potestas non potest delegari,2,4.2184671138797235e-09
nunc aut nunquam,2,4.2184671138797235e-09
sit nomen domini benedictum,2,4.2184671138797235e-09
treuga dei,2,4.2184671138797235e-09
clerico admittendo,2,4.2184671138797235e-09
ne nimium,2,4.2184671138797235e-09
sol lucet omnibus,2,4.2184671138797235e-09
fortiter et fideliter,2,4.2184671138797235e-09
aquila non capit muscas,2,4.2184671138797235e-09
cum grano salis,2,4.2184671138797235e-09
regnat populus,2,4.2184671138797235e-09
mihi cura futuri,2,4.2184671138797235e-09
siste viator,2,4.2184671138797235e-09
timeo danaos et dona ferentes,2,4.2184671138797235e-09
sidere mens eadem mutato,2,4.2184671138797235e-09
me fallit,2,4.2184671138797235e-09
res firma mitescere nescit,2,4.2184671138797235e-09
equo ne credite,2,4.2184671138797235e-09
in utrumque paratus,2,4.2184671138797235e-09
qua patet orbis,2,4.2184671138797235e-09
similia similibus solvuntur,2,4.2184671138797235e-09
ut dict,2,4.2184671138797235e-09
dies juridicus,2,4.2184671138797235e-09
verbi divini minister,2,4.2184671138797235e-09
sapientia et doctrina,2,4.2184671138797235e-09
sancta sedes,2,4.2184671138797235e-09
in necessariis unitas,2,4.2184671138797235e-09
celerius quam asparagi cocuntur,2,4.2184671138797235e-09
viribus unitis,2,4.2184671138797235e-09
lectori salutem,2,4.2184671138797235e-09
scio me nihil scire,2,4.2184671138797235e-09
quaecumque sunt vera,2,4.2184671138797235e-09
veritas lux mea,2,4.2184671138797235e-09
non nobis solum nati sumus,2,4.2184671138797235e-09
qui audet adipiscitur,2,4.2184671138797235e-09
ignorantia juris neminem excusat,2,4.2184671138797235e-09
strictum jus,2,4.2184671138797235e-09
in lumine tuo videbimus lumen,2,4.2184671138797235e-09
nescit vox missa reverti,2,4.2184671138797235e-09
ex malo bonum,2,4.2184671138797235e-09
ama et fac quod vis,2,4.2184671138797235e-09
ex luna scientia,2,4.2184671138797235e-09
virtus tentamine gaudet,2,4.2184671138797235e-09
durante absentia,2,4.2184671138797235e-09
pulvis et umbra sumus,2,4.2184671138797235e-09
quod me nutrit me destruit,2,4.2184671138797235e-09
ad kalendas graecas,2,4.2184671138797235e-09
jubilate deo,2,4.2184671138797235e-09
in ictu oculi,2,4.2184671138797235e-09
omnia mea mecum porto,2,4.2184671138797235e-09
numquam non paratus,2,4.2184671138797235e-09
eruditio et religio,2,4.2184671138797235e-09
fortes fortuna juvat,2,4.2184671138797235e-09
dimidium facti qui coepit habet,2,4.2184671138797235e-09
jus soil,2,4.2184671138797235e-09
homo legalis,2,4.2184671138797235e-09
durante minore aetate,2,4.2184671138797235e-09
succisa virescit,2,4.2184671138797235e-09
quo fata ferunt,1,2.1092335569398618e-09
mare tranquillitatis,1,2.1092335569398618e-09
usus est magister optimus,1,2.1092335569398618e-09
ira furor brevis est,1,2.1092335569398618e-09
amor omnibus idem,1,2.1092335569398618e-09
ex factis jus oritur,1,2.1092335569398618e-09
jus angariae,1,2.1092335569398618e-09
decessit sine prole legitima,1,2.1092335569398618e-09
ignorantia iuris nocet,1,2.1092335569398618e-09
id quod plerumque accidit,1,2.1092335569398618e-09
ante christum natum,1,2.1092335569398618e-09
spem gregis,1,2.1092335569398618e-09
ex solo ad solem,1,2.1092335569398618e-09
aequam memento rebus in arduis servare mentem,1,2.1092335569398618e-09
qui docet in doctrina,1,2.1092335569398618e-09
ex fide fortis,1,2.1092335569398618e-09
errantis voluntas nulla est,1,2.1092335569398618e-09
fons vitae caritas,1,2.1092335569398618e-09
nihil debet,1,2.1092335569398618e-09
victoria aut mors,1,2.1092335569398618e-09
arte et marte,1,2.1092335569398618e-09
aeternum vale,1,2.1092335569398618e-09
audio hostem,1,2.1092335569398618e-09
maxima debetur puero reverentia,1,2.1092335569398618e-09
arduus ad solem,1,2.1092335569398618e-09
veritas aequitas,1,2.1092335569398618e-09
arduum sane munus,1,2.1092335569398618e-09
justitia omnibus,1,2.1092335569398618e-09
communi consilio,1,2.1092335569398618e-09
jus edicendi,1,2.1092335569398618e-09
gaudium in veritate,1,2.1092335569398618e-09
munit haec et altera vincit,1,2.1092335569398618e-09
dictum factum,1,2.1092335569398618e-09
hinc et inde,1,2.1092335569398618e-09
potius mori quam foedari,1,2.1092335569398618e-09
ex unitate vires,1,2.1092335569398618e-09
bono malum superate,1,2.1092335569398618e-09
cum laude,1,2.1092335569398618e-09
concilio et labore,1,2.1092335569398618e-09
privilegium minus,1,2.1092335569398618e-09
apage satanas,1,2.1092335569398618e-09
nil sine numine,1,2.1092335569398618e-09
clavis aurea,1,2.1092335569398618e-09
privilegium maius,1,2.1092335569398618e-09
quod est necessarium est licitum,1,2.1092335569398618e-09
in magnis et voluisse sat est,1,2.1092335569398618e-09
semper progrediens,1,2.1092335569398618e-09
alis aquilae,1,2.1092335569398618e-09
jus personarum,1,2.1092335569398618e-09
semper vigilo,1,2.1092335569398618e-09
sit sine labe decus,1,2.1092335569398618e-09
horas non numero nisi serenas,1,2.1092335569398618e-09
tres faciunt collegium,1,2.1092335569398618e-09
bonus vir semper tiro,1,2.1092335569398618e-09
abeunt studia in mores,1,2.1092335569398618e-09
quaque nocte,1,2.1092335569398618e-09
vetus latina,1,2.1092335569398618e-09
pactum serva,1,2.1092335569398618e-09
sapientia et virtus,1,2.1092335569398618e-09
quaque mane,1,2.1092335569398618e-09
venturis ventis,1,2.1092335569398618e-09
familia supra omnia,1,2.1092335569398618e-09
ad terminum qui praeteriit,1,2.1092335569398618e-09
sine scientia ars nihil est,1,2.1092335569398618e-09
jus commercii,1,2.1092335569398618e-09
lux in domino,1,2.1092335569398618e-09
pretium iustum est,1,2.1092335569398618e-09
fabricati diem,1,2.1092335569398618e-09
fiat justitia et pereat mundus,1,2.1092335569398618e-09
quantum libet,1,2.1092335569398618e-09
ecce panis angelorum,1,2.1092335569398618e-09
qualis artifex pereo,1,2.1092335569398618e-09
magna cum laude,1,2.1092335569398618e-09
virtus laudata crescit,1,2.1092335569398618e-09
nutrimentum spiritus,1,2.1092335569398618e-09
amantes amentes,1,2.1092335569398618e-09
singuli in solidum,1,2.1092335569398618e-09
veritas et virtus,1,2.1092335569398618e-09
acta deos numquam mortalia fallunt,1,2.1092335569398618e-09
nihil fit sine causa,1,2.1092335569398618e-09
hoc est bellum,1,2.1092335569398618e-09
orbes volantes exstare,1,2.1092335569398618e-09
deus caritas est,1,2.1092335569398618e-09
ex duris gloria,1,2.1092335569398618e-09
semper primus,1,2.1092335569398618e-09
semper sursum,1,2.1092335569398618e-09
scientia ipsa potentia est,1,2.1092335569398618e-09
post christum natum,1,2.1092335569398618e-09
invictus maneo,1,2.1092335569398618e-09
sapiens qui prospicit,1,2.1092335569398618e-09
de verborum significatione,1,2.1092335569398618e-09
honores mutant mores,1,2.1092335569398618e-09
abnormis sapiens,1,2.1092335569398618e-09
extremis malis extrema remedia,1,2.1092335569398618e-09
amicus usque ad aras,1,2.1092335569398618e-09
manus manum lavat,1,2.1092335569398618e-09
ducit amor patriae,1,2.1092335569398618e-09
floreat pica,1,2.1092335569398618e-09
statio bene fide carinis,1,2.1092335569398618e-09
haud ignota loquor,1,2.1092335569398618e-09
flamma fumo est proxima,1,2.1092335569398618e-09
ante prandium,1,2.1092335569398618e-09
opera quadrata,1,2.1092335569398618e-09
ab invito,1,2.1092335569398618e-09
lector benevole,1,2.1092335569398618e-09
decies repetita placebit,1,2.1092335569398618e-09
extra domum,1,2.1092335569398618e-09
signum fidei,1,2.1092335569398618e-09
de te fabula narrator,1,2.1092335569398618e-09
deus nobiscum,1,2.1092335569398618e-09
crescat scientia vita excolatur,1,2.1092335569398618e-09
lux sit,1,2.1092335569398618e-09
fides punica,1,2.1092335569398618e-09
a pedibus usque ad caput,1,2.1092335569398618e-09
ex infra,1,2.1092335569398618e-09
vince in bono malum,1,2.1092335569398618e-09
bellum romanum,1,2.1092335569398618e-09
bonum commune communitatis,1,2.1092335569398618e-09
a falsis principiis proficisci,1,2.1092335569398618e-09
servus servorum dei,1,2.1092335569398618e-09
devisat vel non,1,2.1092335569398618e-09
verbum domini manet in aeternum,1,2.1092335569398618e-09
ad libitur,1,2.1092335569398618e-09
gaudia certaminis,1,2.1092335569398618e-09
auspicium melioris aevi,1,2.1092335569398618e-09
absolutum dominium,1,2.1092335569398618e-09
hortus in urbe,1,2.1092335569398618e-09
de fideli administratione,1,2.1092335569398618e-09
a cruce salus,1,2.1092335569398618e-09
die dulci freure,1,2.1092335569398618e-09
vivere militare est,1,2.1092335569398618e-09
animus in consulendo liber,1,2.1092335569398618e-09
aqua fontana,1,2.1092335569398618e-09
tendit in ardua virtus,1,2.1092335569398618e-09
aurum potestas est,1,2.1092335569398618e-09
homo sui juris,1,2.1092335569398618e-09
neutiquam erro,1,2.1092335569398618e-09
ante christum,1,2.1092335569398618e-09
video meliora proboque deteriora sequor,1,2.1092335569398618e-09
ex umbra in solem,1,2.1092335569398618e-09
contra spem spero,1,2.1092335569398618e-09
qua definitione,1,2.1092335569398618e-09
veritas christo et ecclesiae,1,2.1092335569398618e-09
quomodo vales,1,2.1092335569398618e-09
fidus achates,1,2.1092335569398618e-09
virtute et industria,1,2.1092335569398618e-09
dominus illuminatio mea,1,2.1092335569398618e-09
omnes una manet nox,1,2.1092335569398618e-09
caritas christi,1,2.1092335569398618e-09
opus lateritium,1,2.1092335569398618e-09
defensor fortis,1,2.1092335569398618e-09
caetera desunt,1,2.1092335569398618e-09
virtus et scientia,1,2.1092335569398618e-09
lachryma christi,1,2.1092335569398618e-09
opera sectilia,1,2.1092335569398618e-09
dis manibus sacrum,1,2.1092335569398618e-09
romanes eunt domus,1,2.1092335569398618e-09
vi coactus,1,2.1092335569398618e-09
christianos ad leones,1,2.1092335569398618e-09
virtute et veritate,1,2.1092335569398618e-09
bona officia,1,2.1092335569398618e-09
